customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TC-00001,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.82,4703.45,No
TC-00002,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,19.75,1288.43,No
TC-00003,Male,0,No,Yes,62,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),80.89,5003.71,No
TC-00004,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,44.77,3143.36,No
TC-00005,Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.9,6317.93,No
TC-00006,Female,1,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,99.9,6561.19,No
TC-00007,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.78,1274.45,Yes
TC-00008,Male,0,No,No,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,77.56,2724.49,Yes
TC-00009,Male,0,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.09,7191.14,No
TC-00010,Female,0,No,No,14,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.74,1031.08,Yes
TC-00011,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,60.55,971.91,No
TC-00012,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.68,98.38,Yes
